"ensembl_gene_id","PC3MNT1","PC3MNT2","PC3MNT3","PC3MTR1","PC3MTR2","PC3MTR3"
"ENSG00000142676",4919.08,5323.61,4340.89,4671.97,5616.83,4841.64
"ENSG00000011007",1034.75,1033.37,1027.22,941.366,1000.04,1006.97
"ENSG00000057757",469.135,405.885,452.786,412.574,388.676,394.771
"ENSG00000011009",339.459,380.635,334.521,263.234,307.184,285.773
"ENSG00000264926",0,0,0,0,0,0
"ENSG00000189266",785.894,754.863,676.55,867.64,891.889,785.569
"ENSG00000158055",0,0,0,0,0,0
"ENSG00000001461",228.149,273.605,276.702,251.685,283.527,285.333
"ENSG00000117602",77.43,72.7352,70.5835,78.084,75.1064,68.2633
"ENSG00000184454",0,0.753733,0.750888,0.726363,2.25319,0.722363
"ENSG00000133226",968.082,869.054,855.262,933.013,807.77,841.553
"ENSG00000169504",5394.01,5680.51,5657.19,5542.15,5501.55,5674.52
"ENSG00000264371",0,0,0,0,0,0
"ENSG00000187010",0,0,0,0,0,0.361181
"ENSG00000183726",371.83,389.303,362.304,345.749,371.026,378.879
"ENSG00000252515",0,0,0,0,0,0
"ENSG00000204178",91.0941,91.2017,82.5977,86.4372,73.6043,76.2093
"ENSG00000157978",58.7971,48.2389,63.0746,38.134,43.9373,31.784
"ENSG00000117643",0,0.753733,1.50178,0.726363,0.375532,1.44473
"ENSG00000229786",0,0,0,0,0,0
"ENSG00000207237",0,0,0,0,0,0
"ENSG00000251992",0,0,0,0,0,0
"ENSG00000238835",0,0,0,0,0,0
"ENSG00000158008",0,0.376866,0,0,0,0
"ENSG00000175087",122.563,102.131,103.998,78.8104,67.9713,82.3493
"ENSG00000197245",0,0,0.375444,0,0,0
"ENSG00000142684",66.2503,64.0673,117.514,105.323,108.904,85.2388
"ENSG00000142675",21.9454,21.8583,16.1441,19.6118,20.6543,18.7814
"ENSG00000188782",0,0,0,0,0,0
"ENSG00000130695",281.15,261.168,242.537,294.177,250.48,287.862
"ENSG00000142669",1686.9,1805.57,1783.36,1673.18,1755.24,1617.01
